loc_x,eminox,emivoc
9053.0,1.9689285833333333e-10,4.0121982275e-11
9055.0,1.29912696e-10,2.555538811e-11
9059.0,1.724273241666667e-11,6.918875566e-11
9061.0,1.5880977773333332e-11,5.7899855911666664e-11
9063.0,9.015835811666667e-12,4.634583113333334e-11
10997.0,7.057188441666667e-12,3.857800773333333e-10
10999.0,5.4615445866666664e-12,6.350611311666666e-10
11001.0,5.8028425483333335e-12,5.50341405e-10
11003.0,7.514362805e-12,4.6426408033333335e-10
11005.0,2.0925784505000002e-11,5.663876615e-10
11007.0,2.893043545e-11,5.671607303333333e-10
11009.0,2.4765960766666667e-11,2.828911286666667e-10
11011.0,2.6710545266666665e-11,1.256639133e-10
11013.0,1.8084896751666667e-11,6.133835253333333e-11
11015.0,5.496735838333334e-12,1.519382651e-11
11017.0,1.8106089216666666e-12,1.3251558196666668e-13
11019.0,2.7277658683333335e-13,1.2231641728333333e-13
11021.0,3.7336282399999996e-14,4.00378409e-14
11023.0,5.2792390300000003e-14,1.2222576958333333e-14
11025.0,1.0370471198333334e-12,2.1494475898333332e-12
11027.0,6.970663625e-13,3.4007550383333333e-12
11029.0,1.0098472975e-12,2.880106275e-12
11031.0,2.4802311233333333e-12,5.242531453333333e-12
11033.0,2.0443474633333332e-11,2.4242935218333334e-11
11037.0,3.2963929300000005e-11,3.887237768333333e-11
11043.0,3.663092028333333e-11,5.645262269166667e-11
11045.0,6.891019086666666e-11,9.566068735e-11
11047.0,2.9208465133333334e-11,1.3413837784166667e-10
11049.0,6.06136802e-11,7.371232075166667e-11
11051.0,6.430902395e-11,5.45366657e-11
11053.0,1.0398458023333334e-10,3.9951036358333335e-11
11061.0,2.5826713983333334e-11,6.5212085825e-11
11063.0,6.661812528333333e-12,4.6581121176666666e-11
12981.0,2.378405983333333e-12,1.2565929840000002e-10
12983.0,2.8355223566666663e-12,2.2247718213333333e-10
12985.0,6.091042618333333e-12,1.8946403125e-10
12987.0,1.168132351e-11,1.3376276861666664e-10
12993.0,2.0598119575e-11,1.6246332684999999e-10
12995.0,1.8245063583333334e-11,2.7800097283333333e-10
12997.0,1.3255859358333333e-11,5.661518521666667e-10
12999.0,8.893916516666667e-12,6.712813188333333e-10
13001.0,5.214619891666667e-12,6.603131325e-10
13003.0,6.9244305366666665e-12,5.676945013333333e-10
13005.0,2.3559482161666666e-11,5.988246396666667e-10
13007.0,2.428515000333333e-11,6.286079546666666e-10
13009.0,2.6472298583333334e-11,3.4626286199999996e-10
13011.0,2.27610028e-11,1.5033055916666666e-10
13013.0,1.5940727693333333e-11,8.017459165e-11
