longitude,latitude,o3prod_mole_stacked,o3loss_mole_stacked
1.0,41.0,3800489.8949946896,755864.134123569
1.0,43.0,4949481.919381456,541319.0004754815
1.0,45.0,4396489.587805552,498374.05121817713
1.0,47.0,3316615.7652871623,488369.55399942567
1.0,49.0,2728131.1758394586,404347.7692921563
1.0,51.0,1775442.8048461198,307901.03196296113
1.0,53.0,1643233.981783958,288407.21888570394
1.0,55.0,1213212.3978113038,254695.15859489798
1.0,57.0,1169275.4287494596,235724.69478280822
1.0,59.0,881092.8324778113,176749.2829353266
1.0,61.0,768457.7486344153,167951.4370370637
1.0,63.0,621043.8484754844,185687.05493173416
1.0,65.0,616306.5152998246,121639.54392412919
1.0,67.0,450480.4470306298,83591.65305905856
1.0,69.0,263198.8522528869,113065.86126487852
1.0,71.0,165847.73716052543,116389.01834545993
1.0,73.0,121631.70495736595,106237.60856170327
1.0,75.0,111561.49687567697,91714.095804749
1.0,77.0,119913.8908062257,80011.28050405852
1.0,79.0,257636.73801942982,87553.19381421329
1.0,81.0,245470.40863480885,90319.15155217097
1.0,83.0,134252.70613034203,90216.06136239506
1.0,85.0,121467.43907816325,85004.06617853275
1.0,87.0,94355.18365978646,82348.0019298879
1.0,89.0,149180.135724566,75001.1147810026
3.0,-89.0,19068.71314585237,23296.268157883544
3.0,-87.0,20099.694141414126,25067.279669332747
3.0,-85.0,21641.00350441905,28022.235090390823
3.0,-83.0,23400.7769158044,31148.37699691667
3.0,-81.0,26207.512390626336,36134.39512774977
3.0,-79.0,28435.08939345147,40100.582308015204
3.0,-77.0,29558.18924128537,42518.954172005026
3.0,-75.0,30788.15801294172,47780.59294300977
3.0,-73.0,34900.38569264418,59560.98892723428
3.0,-71.0,79635.7787521067,79259.22962534166
3.0,-69.0,166717.13496952312,91261.16707839786
3.0,-67.0,113715.1592334756,100317.93646688531
3.0,-65.0,92253.21494719572,102892.08751655508
3.0,-63.0,79464.13950757784,102706.91107360803
3.0,-61.0,89706.53004985744,98055.52480581257
3.0,-59.0,49395.45620151418,88784.92038762668
3.0,-57.0,43800.812034521805,79660.4876515973
3.0,-55.0,55079.03715538301,81072.81721205938
3.0,-53.0,44086.13996109363,89471.93775607648
3.0,-51.0,37159.07491727222,101894.72166302663
3.0,-49.0,46958.94305076349,121932.25283586346
