t,year,month,longitude,latitude,obs,UKESM1_0_LL,bias
139.5,2001.5,1.5,-119.0,49.0,28.044166666666666,9.025208333333333,-19.018958333333334
229.5,2009.0,1.5,-119.0,51.0,31.168333333333333,9.679444444444446,-21.48888888888889
161.86363636363637,2003.3636363636363,1.5,-119.0,53.0,31.08090909090909,9.740454545454545,-21.340454545454545
199.5,2006.5,1.5,-119.0,55.0,30.278214285714284,10.593214285714286,-19.685000000000002
145.5,2002.0,1.5,-117.0,33.0,25.2998,14.7498,-10.55
145.5,2002.0,1.5,-117.0,35.0,26.2404,10.7842,-15.4562
175.5,2004.5,1.5,-117.0,37.0,30.240499999999997,21.61075,-8.62975
133.46666666666667,2001.0,1.4666666666666666,-117.0,43.0,29.851333333333333,14.726,-15.125333333333334
235.5,2009.5,1.5,-117.0,49.0,29.1675,9.125,-20.0425
139.5,2001.5,1.5,-117.0,53.0,30.96375,10.06375,-20.9
246.3,2010.4,1.5,-117.0,63.0,27.662,8.331,-19.331
145.5,2002.0,1.5,-115.0,33.0,26.6334,22.472399999999997,-4.1610000000000005
205.5,2007.0,1.5,-115.0,35.0,27.259,23.574,-3.685
145.5,2002.0,1.5,-115.0,37.0,28.8656,21.398200000000003,-7.4674000000000005
13.5,1991.0,1.5,-115.0,41.0,29.511666666666667,17.951666666666668,-11.56
271.5,2012.5,1.5,-115.0,47.0,30.91875,13.2875,-17.63125
139.5,2001.5,1.5,-115.0,51.0,30.95,11.612499999999999,-19.337500000000002
181.5,2005.0,1.5,-115.0,53.0,29.766470588235297,9.097941176470588,-20.668529411764705
205.5,2007.0,1.5,-115.0,63.0,27.389583333333334,9.643333333333333,-17.74625
145.5,2002.0,1.5,-113.0,33.0,25.503600000000002,26.2544,0.750799999999999
181.5,2005.0,1.5,-113.0,35.0,28.349999999999998,25.561666666666667,-2.788333333333334
235.5,2009.5,1.5,-113.0,37.0,29.976499999999998,20.381,-9.5955
253.5,2011.0,1.5,-113.0,41.0,30.663999999999998,15.957999999999998,-14.706
172.3235294117647,2004.235294117647,1.5,-113.0,43.0,30.771176470588237,13.406470588235294,-17.36470588235294
145.5,2002.0,1.5,-113.0,49.0,29.639400000000002,12.5068,-17.1326
139.5,2001.5,1.5,-113.0,53.0,25.408749999999998,5.745625,-19.663125
235.5,2009.5,1.5,-111.0,31.0,28.7305,31.559500000000003,2.8289999999999997
145.5,2002.0,1.5,-111.0,33.0,27.1494,19.8586,-7.290800000000001
277.5,2013.0,1.5,-111.0,37.0,30.42,11.094999999999999,-19.325
277.5,2013.0,1.5,-111.0,39.0,30.583333333333332,12.06,-18.523333333333333
184.5,2005.25,1.5,-111.0,41.0,30.532916666666665,12.567083333333334,-17.965833333333332
271.5,2012.5,1.5,-111.0,47.0,32.3225,15.205,-17.1175
169.5,2004.0,1.5,-111.0,51.0,25.803947368421053,11.155,-14.648947368421052
259.5,2011.5,1.5,-111.0,55.0,26.646250000000002,10.89,-15.756250000000001
