longitude,latitude,annual,JJA,DJF
1.0,61.0,35.83095775638867,40.14308885302853,29.988790117840836
1.0,63.0,36.37834566916354,40.54341218306945,30.697382413791274
1.0,65.0,34.998937081809345,38.763158016763555,29.538414381136135
1.0,67.0,33.32066356165342,36.244657053430274,28.324683043479126
1.0,69.0,33.479253147561394,36.2523948638227,28.639917104555934
1.0,71.0,33.27593489643732,35.42762172514813,28.578897470765696
1.0,73.0,33.05171958345454,34.960404349249075,28.446738298271157
1.0,75.0,32.464704702306335,34.52334240705568,27.883192643685106
1.0,77.0,30.321885446937813,32.72142734545014,25.637927336674693
1.0,79.0,26.085633209049774,30.302292230999228,20.27749701483117
1.0,81.0,23.081241806721664,30.589148991566617,15.791954410815379
1.0,83.0,21.597132970896382,30.361810843260173,14.339311071864813
1.0,85.0,20.779786780167342,30.172810028261665,13.306212132135897
1.0,87.0,20.249110832537554,29.946132684699478,12.900754242650692
1.0,89.0,19.978656951025187,29.750962582397733,12.886886224805494
3.0,-89.0,17.453995582172865,20.381532905844324,16.54766634828775
3.0,-87.0,17.650286565640272,20.604412398483873,16.98254692428236
3.0,-85.0,17.655423789619817,20.420650059804757,17.492148174369504
3.0,-83.0,17.559429466018628,20.213052565054568,17.336740043560894
3.0,-81.0,18.69964449952022,21.552246209921577,18.01334903461793
3.0,-79.0,19.55777406692505,22.26157036488985,19.1035773866588
3.0,-77.0,19.86311026769272,22.403090937928027,19.789039740203407
3.0,-75.0,20.65305970688769,23.138866822591808,20.66603244088583
3.0,-73.0,20.952480639380155,23.504785673367223,20.27625178868675
3.0,-71.0,19.466472878093555,22.663350307539076,17.208796165846252
3.0,-69.0,17.54748879534418,18.477813057415915,15.407648490395331
3.0,-67.0,17.90492198949778,19.63590356979239,14.995821473462456
3.0,-65.0,18.32215446029295,20.999070926563945,14.725280550464959
3.0,-63.0,18.781216581942317,22.380614694839096,14.59489595845298
3.0,-61.0,19.26285975173414,23.688270900379393,14.530737502127522
3.0,-59.0,19.732771860958565,24.51889713483979,14.616174937032156
3.0,-57.0,20.113812837507794,25.08238949872066,14.739605980196302
3.0,-55.0,20.3996695091746,25.424869321000187,14.936421877109751
3.0,-53.0,20.778880838179248,25.732553865509544,15.330336111674114
3.0,-51.0,21.23372588869188,26.16389416232323,15.774375583532674
3.0,-49.0,21.666661353947347,26.561389532275825,16.180642603558226
3.0,-47.0,22.057008663978195,26.960796262187614,16.565770977194916
3.0,-45.0,22.576603697643804,27.599662999477914,17.020768794395735
3.0,-43.0,23.162487039485313,28.17584210390578,17.523566597787976
3.0,-41.0,23.656632208712836,28.555600550816962,18.042038973931085
