t,year,month,longitude,latitude,obs,UKESM1_0_LL,bias
145.0,2001.5,7.0,-115.0,51.0,29.49513888888889,29.11736111111111,-0.3777777777777779
187.0,2005.0,7.0,-115.0,53.0,25.405098039215687,25.536078431372548,0.1309803921568628
211.0,2007.0,7.0,-115.0,63.0,19.328055555555554,21.917777777777776,2.589722222222222
147.04109589041096,2001.6712328767123,6.986301369863014,-113.0,33.0,38.91712328767123,47.51972602739726,8.602602739726027
183.05454545454546,2004.6727272727273,6.9818181818181815,-113.0,35.0,41.59618181818182,49.00563636363636,7.409454545454545
237.10714285714286,2009.1785714285713,6.964285714285714,-113.0,37.0,41.25428571428571,47.541428571428575,6.2871428571428565
147.04109589041096,2001.6712328767123,6.986301369863014,-113.0,41.0,38.262328767123286,40.574246575342464,2.311917808219178
175.21153846153845,2004.0192307692307,6.980769230769231,-113.0,43.0,36.24865384615385,35.43711538461538,-0.8115384615384607
147.04109589041096,2001.6712328767123,6.986301369863014,-113.0,49.0,31.18123287671233,32.93917808219178,1.7579452054794518
145.0,2001.5,7.0,-113.0,53.0,24.033333333333335,26.10125,2.0679166666666666
237.10714285714286,2009.1785714285713,6.964285714285714,-111.0,31.0,32.566428571428574,40.785000000000004,8.218571428571428
147.04109589041096,2001.6712328767123,6.986301369863014,-111.0,33.0,38.946438356164386,39.41561643835617,0.4691780821917808
279.42857142857144,2012.7142857142858,6.857142857142857,-111.0,37.0,39.728571428571435,43.79571428571428,4.067142857142857
273.3,2012.2,6.9,-111.0,39.0,38.331,38.178,-0.15299999999999941
147.04109589041096,2001.6712328767123,6.986301369863014,-111.0,41.0,39.12109589041096,40.50684931506849,1.3857534246575345
270.75,2012.0,6.75,-111.0,47.0,31.95375,31.62875,-0.3249999999999993
175.0,2004.0,7.0,-111.0,51.0,26.721929824561403,31.50684210526316,4.784912280701755
265.0,2011.5,7.0,-111.0,55.0,23.0275,26.510833333333334,3.483333333333334
148.25714285714287,2001.7714285714285,7.0,-111.0,57.0,22.227285714285717,25.032285714285713,2.8049999999999997
203.1219512195122,2006.341463414634,7.024390243902439,-111.0,59.0,20.97756097560976,22.75951219512195,1.7819512195121952
148.13888888888889,2001.763888888889,6.972222222222222,-109.0,33.0,39.47472222222222,47.35388888888889,7.879166666666666
237.10714285714286,2009.1785714285713,6.964285714285714,-109.0,35.0,40.25642857142857,43.03821428571428,2.781785714285713
167.50819672131146,2003.377049180328,6.983606557377049,-109.0,37.0,40.85393442622951,45.632295081967214,4.778360655737704
177.05172413793105,2004.1724137931035,6.982758620689655,-109.0,39.0,40.60706896551724,41.87120689655172,1.2641379310344822
249.13636363636363,2010.1818181818182,6.954545454545454,-109.0,41.0,39.551818181818184,39.64909090909091,0.09727272727272697
267.2307692307692,2011.6923076923076,6.923076923076923,-109.0,45.0,34.706923076923076,33.073076923076925,-1.6338461538461537
147.04109589041096,2001.6712328767123,6.986301369863014,-107.0,31.0,34.513424657534244,44.29753424657534,9.784109589041096
147.04109589041096,2001.6712328767123,6.986301369863014,-107.0,33.0,38.51958904109589,46.248356164383566,7.728767123287672
147.04109589041096,2001.6712328767123,6.986301369863014,-107.0,35.0,40.79315068493151,47.46780821917808,6.674657534246576
152.72857142857143,2002.142857142857,7.014285714285714,-107.0,37.0,41.25885714285714,39.939571428571426,-1.3192857142857146
267.2307692307692,2011.6923076923076,6.923076923076923,-107.0,39.0,40.09307692307693,40.92230769230769,0.8292307692307682
267.2307692307692,2011.6923076923076,6.923076923076923,-107.0,41.0,39.08615384615385,40.00076923076923,0.9146153846153846
267.2307692307692,2011.6923076923076,6.923076923076923,-107.0,43.0,35.96076923076923,36.699230769230766,0.7384615384615375
267.2307692307692,2011.6923076923076,6.923076923076923,-107.0,45.0,32.81923076923077,32.30384615384615,-0.515384615384617
265.0,2011.5,7.0,-107.0,51.0,26.780833333333334,32.380833333333335,5.599999999999999
154.546875,2002.296875,6.984375,-107.0,53.0,25.0915625,31.49890625,6.40734375
19.0,1991.0,7.0,-105.0,31.0,33.617777777777775,46.78666666666666,13.168888888888889
209.1951219512195,2006.8536585365853,6.951219512195122,-105.0,33.0,35.18658536585366,43.99341463414634,8.806829268292685
147.04109589041096,2001.6712328767123,6.986301369863014,-105.0,39.0,40.48027397260274,40.15068493150685,-0.3295890410958907
147.04109589041096,2001.6712328767123,6.986301369863014,-105.0,41.0,38.38643835616438,40.94534246575343,2.5589041095890415
213.075,2007.175,6.975,-105.0,45.0,32.565250000000006,34.20175,1.6364999999999994
268.0,2011.75,7.0,-105.0,47.0,29.419166666666666,35.45666666666667,6.037499999999999
145.0,2001.5,7.0,-105.0,51.0,27.39888888888889,36.738194444444446,9.339305555555557
235.0,2009.0,7.0,-105.0,53.0,24.667037037037037,28.22925925925926,3.5622222222222226
153.2608695652174,2002.1884057971015,7.0,-103.0,29.0,30.015507246376814,39.75898550724637,9.743478260869564
237.10714285714286,2009.1785714285713,6.964285714285714,-103.0,33.0,32.895714285714284,43.11642857142857,10.220714285714285
237.10714285714286,2009.1785714285713,6.964285714285714,-103.0,43.0,32.25035714285714,43.61785714285714,11.367500000000001
249.13636363636363,2010.1818181818182,6.954545454545454,-103.0,45.0,31.519999999999996,42.549090909090914,11.02909090909091
149.73529411764707,2001.8970588235295,6.970588235294118,-103.0,47.0,30.742941176470588,40.52588235294118,9.782941176470588
