longitude,latitude,Sn,Sv,SnSv,FNR,HOP,LER_etoo,LER_isop,Sv_adj,Sn_adj,SnSv_adj,FNR_NO2,FNR_NOy,FNR_NOx
1.0,35.0,1671220.4881091928,1442885.968605728,1.158248485654141,0.1733913130792743,0.16104025327557542,0.0001344289251187622,0.0283775680712119,1.4428859686057285,4.558887150755517,3.1595616354636835,0.2072589929929354,0.12226442330383594,0.1733913130792743
1.0,43.0,354199.81399780815,3204408.7884598454,0.11053515246662689,0.2673236005856815,0.26404648968062244,0.0003157706792340401,0.11123251452207049,3.204408788459845,1.9248458025327473,0.6006867193301819,0.3264702435725391,0.19260968134035097,0.2673236005856815
1.0,45.0,-77369.17168524653,3664928.175207432,-0.021110692484680824,0.23251669436864747,0.24837931162318364,0.00019845171486318982,0.06826744756407273,3.6649281752074323,1.0617078311666377,0.2896940350288163,0.2832706226631538,0.1647445874927144,0.23251669436864747
1.0,47.0,-137876.11932348664,3301422.597211328,-0.041762638760620634,0.17938122397229886,0.2128427087017198,6.465226284060028e-05,0.018195347561006704,3.301422597211328,0.9406939358901573,0.2849359354009239,0.22208388825123968,0.12229982828333076,0.17938122397229886
1.0,49.0,-1434461.3571185376,4159577.187803342,-0.34485749208468747,0.0881647412385934,0.12614306091159616,1.3086005216813045e-05,0.0062358754547928805,4.159577187803341,-1.6524765396999443,-0.39727031500829335,0.11377267108741802,0.0660407251392895,0.0881647412385934
3.0,7.0,6618532.648112439,1472030.7093711807,4.496191965274781,0.48902649398500553,0.3630179524875217,0.0005192999279284674,0.07296544364574903,1.4720307093711804,14.453511470762013,9.818756754698576,0.6191437714698775,0.3591587798908108,0.48902649398500553
3.0,9.0,4656969.238157701,1944431.7914391132,2.395028336124346,0.7963817753033997,0.46180551452156704,0.0019496952985428397,0.25519760838667505,1.944431791439113,10.53038465085253,5.41566163298471,0.9637068113723689,0.5270946441982881,0.7963817753033997
3.0,11.0,-1575956.5776115563,7197557.788975304,-0.21895712737805204,0.7859271134470388,0.5558052348334156,0.0009205996702894872,0.047333044990546906,7.197557788975304,-1.9354669806859812,-0.26890607028547775,0.9366366696181206,0.5183081366859156,0.7859271134470388
3.0,13.0,1169410.8586186063,4075789.274002812,0.2869164179015894,0.6681723466737105,0.5433900671697282,0.0003867892689488584,0.01449672364807311,4.075789274002814,3.5552678917743434,0.8722894273389977,0.7949706423175404,0.4354769404185898,0.6681723466737105
3.0,15.0,2295897.4683029135,1447671.068686665,1.5859248125927972,0.8057680689568602,0.6669668340261593,0.00024119028061387045,0.0011742890417154414,1.4476710686866654,5.808241111142957,4.012127641959594,0.952112529999651,0.47147559370209613,0.8057680689568602
