placename,loc,seq,circle,longitude,latitude,Sn_adj,Sv_adj,HOP,ln_HOP,LER_etoo,ln_LER,FNR_NO2,FNR_NOx,FNR_NOy,ln_FNR_NO2,ln_FNR_NOx,ln_FNR_NOy,land_earth,land_global,SnSv_FNR,SnSv_HOP,SnSv_LER,SnSv_pred_linear,regime_FNR,regime_HOP,regime_LER,regime_REG
Qatar,10407,2308,51,51,25,0.991104871,17.50682158,0.068501068,-2.680905947,5.71E-06,-12.0739769,0.618138633,0.44547334,0.277956502,-0.481042521,-0.808617876,-1.280290645,1,1,0.986960484,0.3524191,0.007113329,0.056612496,3,2,2,2
Romania,9247.5,1148.5,25,25,46,6.023712115,10.20633714,0.207420942,-1.593264079,0.000119977,-9.207467579,0.231823789,0.184293913,0.138043667,-1.476368574,-1.708466119,-1.991593584,1,1,0.55588477,0.732876225,0.618826419,0.594021247,2,2,2,2
Russia,12494.20109,4528.169631,99.9247606,96.96990424,62.11080711,11.82577327,7.549217082,4.25032544,1.105229237,0.013828405,-5.202867787,1.911693715,1.506201576,0.528446212,0.426999644,0.180996578,-0.746019087,1,1,1.380233546,1.676809187,1.473408014,1.598228606,4,4,4,4
Saudi Arabia,10112.02273,2013.022727,44.45454545,44.45454545,24.13636364,4.001251584,7.907479556,0.475759682,-1.170576945,0.000565693,-9.678603064,1.007001163,0.853173567,0.233100421,-0.521880005,-0.703918435,-1.661569387,1,1,0.96927377,0.880732185,0.518286106,0.622540401,3,3,2,2
Senegal,7449.6,15550.6,345.4,-14.6,14.2,9.490641347,8.830575683,0.808912793,-0.221344181,0.000759243,-7.59834527,1.134878552,0.93367798,0.511765222,0.122215946,-0.07478264,-0.676889945,1,1,1.248231726,1.212773806,0.962213119,1.06176232,4,4,3,3
Serbia & Montenegro,9036.333333,937.3333333,20.33333333,20.33333333,43.66666667,6.892333008,10.1263832,0.246621816,-1.467368334,0.000273659,-8.608126043,0.283831488,0.227552974,0.158605826,-1.30637561,-1.541355285,-1.880057916,1,1,0.629508723,0.776914557,0.746725902,0.693816892,2,2,2,2
Sierra Leone,7564,15665,348,-12,9,12.17049055,8.581030285,0.525228963,-0.661653281,0.01457037,-4.228774926,2.119909789,1.701724236,1.083853384,0.74791823,0.528538554,0.067304978,1,1,1.519223385,1.058753682,1.681279431,1.417597777,4,3,4,4
Slovakia,9024,925,20,20,49,4.545754176,10.90246361,0.133126104,-2.022502241,4.92E-05,-9.948923758,0.14371844,0.110358805,0.086488516,-1.944447696,-2.209544426,-2.452418533,1,1,0.353159703,0.582728716,0.46059967,0.417701347,2,2,2,2
Solomon Is.,15250.5,7151.5,159,159,-8,15.92277113,7.282806854,7.513436268,2.015403355,0.238538759,-2.187081861,21.82525839,17.52823142,6.362950396,3.080409475,2.861700738,1.848922126,1,1,2.529425344,1.995188093,2.116976731,2.179029597,4,4,4,4
Somalia,10176.30769,2077.307692,46.07692308,46.07692308,6.692307692,11.12877338,7.295649685,1.669241798,0.433763019,0.015231596,-4.804817622,3.045879991,2.455105145,1.075567481,1.016711845,0.808042312,-0.031828623,1,1,1.6356379,1.441930304,1.558351919,1.540641397,4,4,4,4
South Africa,9200.392857,1101.392857,24.78571429,24.78571429,-28.92857143,8.723103392,10.36705534,0.715189384,-0.957150626,0.005385019,-6.551253052,1.268907202,1.039193617,0.644975043,-0.07792631,-0.362235269,-0.721604094,1,1,1.161550115,0.955388711,1.185662599,1.060269572,3,3,3,3
South Korea,13862.66667,5763.666667,127.6666667,127.6666667,36.33333333,7.141865207,12.86163786,0.174897704,-1.787254382,0.000147171,-9.100779568,0.266569284,0.205275652,0.116625806,-1.370583332,-1.645257593,-2.19192227,1,1,0.601700359,0.665018417,0.64159364,0.573291815,2,2,2,2
Spain,7932.25,16033.25,355.8333333,-4.166666667,40.5,4.967146625,10.34634642,0.131912892,-2.05932796,9.12E-05,-9.45036592,0.202568838,0.162410287,0.123216428,-1.623096382,-1.845361256,-2.112538985,1,1,0.492336957,0.56984708,0.566991913,0.479577065,2,2,2,2
Sri Lanka,11748,3649,81,81,7,8.240381798,7.892568431,0.328441652,-1.113396077,0.001540892,-6.47539364,1.019217083,0.79715327,0.490149859,0.019034767,-0.22670831,-0.7130441,1,1,1.203543957,0.900734052,1.201850997,1.044068464,4,3,4,3
Sudan,9458.962264,1359.962264,30.05660377,30.05660377,13.83018868,11.03470563,9.391670742,0.921761204,-0.290329618,0.002667777,-6.562856349,2.346155377,1.981282902,0.643574081,0.622991768,0.454805473,-0.574972454,1,1,1.465117735,1.1886427,1.183186455,1.186464977,4,3,3,3
Suriname,5581.5,13682.5,304,-56,4,15.58944181,8.18221381,2.855957658,0.984590788,0.074546711,-2.746590608,6.538702453,5.101551759,2.849551957,1.790991808,1.545472647,1.003653416,1,1,1.970978552,1.634609858,1.997577564,1.908610391,4,4,4,4
Svalbard,8867.8,768.8,16.2,16.2,78.6,9.091858189,7.29007942,3.263426399,1.144056299,0.000379198,-7.995002673,1.253197296,0.929031098,0.261937845,0.197772908,-0.094875901,-1.341221274,1,1,1.280955446,1.690390893,0.87756643,1.198827432,4,4,3,3
Swaziland,9481,1382,31,31,-27,8.424934763,9.46083045,0.198640075,-1.616260759,0.000952739,-6.956169168,0.771414832,0.553625671,0.442101873,-0.259529006,-0.591266505,-0.816214942,1,1,1.082897987,0.724831986,1.099253499,0.890506897,3,2,3,3
Sweden,8876.894737,777.8947368,16.57894737,16.57894737,62.68421053,10.8112802,7.676954577,1.760492583,0.411864943,0.006723869,-5.555873709,0.971336766,0.776139799,0.322812623,-0.13598326,-0.360718225,-1.169483953,1,1,1.13640565,1.434270357,1.39807655,1.424012965,3,4,4,4
Switzerland,8483,384,8,8,47,6.181184845,11.08613475,0.146251408,-1.922518996,0.000121555,-9.021256654,0.211040279,0.162662538,0.127595643,-1.555836534,-1.816104598,-2.058914728,1,1,0.521467197,0.617702855,0.65856383,0.557990273,2,2,2,2
Syria,9872,1773,39,39,35,4.210072455,10.40858147,0.180720033,-1.851108764,6.06E-05,-10.29594971,0.372468694,0.310418915,0.197230399,-1.227780166,-1.417094609,-1.802369576,1,1,0.66354841,0.642682154,0.386544331,0.416376123,2,2,2,2
Tajikistan,11314,3215,71,71,39,8.16034243,8.199792965,0.234436458,-1.452507803,0.002362167,-6.243232598,0.548456209,0.420830971,0.259766922,-0.612312201,-0.874036227,-1.348165394,1,1,0.930107586,0.78211277,1.251394163,1.213397785,3,2,4,4
Tanzania,9671.391304,1572.391304,35,35,-6.217391304,11.71177521,9.438115099,0.47601526,-0.888141662,0.007941388,-5.155066166,1.769522842,1.455109621,1.010967099,0.504058511,0.311928889,-0.03284128,1,1,1.413607741,0.979528047,1.48360888,1.258564638,4,3,4,4
Thailand,12652.27273,4553.272727,101,101,15.54545455,9.385938825,10.48755456,0.348676141,-1.379291255,0.002810606,-6.935397895,1.120607326,0.875897672,0.595493586,-0.041001896,-0.317180039,-0.628327427,1,1,1.177542079,0.807723919,1.103686089,0.938821382,3,3,3,3
Timor Leste,13720,5621,125,125,-9,13.5223595,9.636137175,0.756954255,-0.278452457,0.007460782,-4.898095095,2.579497537,2.028688684,1.158196627,0.947594627,0.707389616,0.146864164,1,1,1.605703233,1.192797331,1.538446507,1.4032967,4,3,4,4
Togo,8148.5,49.5,1,1,8,10.49424988,8.709610081,0.521818925,-0.658623746,0.003055466,-5.855688125,1.160162018,0.939325676,0.641607727,0.144581812,-0.067411321,-0.451011472,1,1,1.257918383,1.059813414,1.334096154,1.20470123,4,3,4,4
Tunisia,8558,459,9.8,9.8,35,7.416714983,9.735151559,0.385844252,-1.159918388,0.00080904,-8.139546705,0.500121191,0.418739713,0.200732751,-0.850914948,-1.037196599,-1.67268511,1,1,0.826768736,0.884460548,0.846720733,0.813571585,3,3,3,3
Turkey,9694.086957,1595.086957,35,35,39.17391304,6.710705747,9.612676429,0.213210333,-1.632973927,0.000420325,-8.24675359,0.324150502,0.260586795,0.177542079,-1.203975248,-1.421367316,-1.77557226,1,1,0.67385832,0.71898572,0.823842784,0.811974721,2,2,3,3
Turkmenistan,10739.61538,2640.615385,58.23076923,58.23076923,39.46153846,7.769292674,8.21978713,0.58469114,-0.768319565,0.001115596,-7.512596848,0.585631134,0.489429785,0.245145408,-0.698032449,-0.88363751,-1.447788548,1,1,0.892982146,1.021441816,0.980511833,0.963769372,3,3,3,3
